Vakken;#Hoorcolleges;#Werkcolleges;Max. stud.;#Practica;Max. stud.2;E(studenten);min aantal tijdslots
Advanced Heuristics;1;0;nvt;1;10;22;2
Algoritmen en complexiteit;1;1;25;1;25;47;3
Analysemethoden en -technieken;1;0;nvt;0;nvt;60;1
Architectuur en computerorganisatie;2;0;nvt;0;nvt;19;2
Autonomous Agents 2;2;1;10;1;10;19;4
Bioinformatica;3;1;20;1;20;40;5
Calculus 2;1;1;40;0;nvt;90;2
Collectieve Intelligentie;3;1;20;1;20;65;5
Compilerbouw;2;1;40;1;40;70;4
Compilerbouw (practicum);0;0;nvt;1;15;35;1
Data Mining;2;1;10;1;10;30;4
Databases 2;1;1;40;0;nvt;69;2
Heuristieken 1;1;1;25;0;nvt;44;2
Heuristieken 2;1;1;20;0;nvt;30;2
Informatie- en organisatieontwerp;2;1;15;1;15;40;4
Interactie-ontwerp;2;0;nvt;0;nvt;31;2
Kansrekenen 2;2;0;nvt;0;nvt;70;2
Lineaire Algebra;2;0;nvt;0;nvt;50;2
Machine Learning;2;0;nvt;0;nvt;25;2
Moderne Databases;1;1;20;1;20;60;3
Netwerken en systeembeveiliging;0;0;nvt;1;20;50;1
Programmeren in Java 2;0;0;nvt;1;20;95;1
Project Genetic Algorithms;0;0;nvt;1;15;40;1
Project Numerical Recipes;0;0;nvt;1;15;40;1
Reflectie op de digitale cultuur;2;1;20;0;nvt;53;3
Software engineering;1;1;40;1;40;75;3
Technology for games;2;1;20;0;nvt;50;3
Webprogrammeren en databases;2;1;20;1;20;46;4
Zoeken, sturen en bewegen;0;0;nvt;1;15;45;1
